From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
A2AGN1	O75900	reviewed	MMP23_HUMAN	Matrix metalloproteinase-23 (MMP-23) (EC 3.4.24.-) (Femalysin) (MIFR-1) (Matrix metalloproteinase-21) (MMP-21) (Matrix metalloproteinase-22) (MMP-22) [Cleaved into: Matrix metalloproteinase-23, soluble form]	MMP23B MMP21 MMP22	Homo sapiens (Human)	390
Q9NWL0	Q96EY7	reviewed	PTCD3_HUMAN	Small ribosomal subunit protein mS39 (28S ribosomal protein S39, mitochondrial) (MRP-S39) (Pentatricopeptide repeat domain-containing protein 3, mitochondrial) (Transformation-related gene 15 protein) (TRG-15)	PTCD3 MRPS39 TRG15	Homo sapiens (Human)	689
Q6P5R4	Q6P5R4		Q6P5R4_HUMAN	deleted			
Q5JPE2	P59768	reviewed	GBG2_HUMAN	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-2 (G gamma-I)	GNG2	Homo sapiens (Human)	71
Q9UHX6	Q2TB18	reviewed	ASTE1_HUMAN	Protein asteroid homolog 1	ASTE1 HT001	Homo sapiens (Human)	679
Q9H912	Q8NFT6	reviewed	DBF4B_HUMAN	Protein DBF4 homolog B (Activator of S phase kinase-like protein 1) (ASK-like protein 1) (Chiffon homolog B) (Dbf4-related factor 1)	DBF4B ASKL1 DRF1	Homo sapiens (Human)	615
Q96NS9	P27816	reviewed	MAP4_HUMAN	Microtubule-associated protein 4 (MAP-4)	MAP4	Homo sapiens (Human)	1152
Q53H57	Q53H57	unreviewed	Q53H57_HUMAN	Carboxylic ester hydrolase (EC 3.1.1.-)		Homo sapiens (Human)	582
Q9ULA4	Q9ULA4	unreviewed	Q9ULA4_HUMAN	HCG1639816, isoform CRA_c	hCG_1639816	Homo sapiens (Human)	187
Q6XYE3	Q6XYE3	unreviewed	Q6XYE3_HUMAN	FP17780		Homo sapiens (Human)	140
Q9NUN4	Q9NUN4	unreviewed	Q9NUN4_HUMAN	cDNA FLJ11251 fis, clone PLACE1008813		Homo sapiens (Human)	404
Q9NST3	Q9NST3	unreviewed	Q9NST3_HUMAN	Grainyhead-like protein 3 homolog		Homo sapiens (Human)	117
Q9Y302	B7ZAQ6	reviewed	GPHRA_HUMAN	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)	GPR89A GPHRA GPR89 SH120 CGI-13 UNQ192/PRO218	Homo sapiens (Human)	455
Q9Y302	P0CG08	reviewed	GPHRB_HUMAN	Golgi pH regulator B (Protein GPR89B)	GPR89B GPHRB GPR89C HSPC201	Homo sapiens (Human)	455
Q6FG74	P19957	reviewed	ELAF_HUMAN	Elafin (Elastase-specific inhibitor) (ESI) (Peptidase inhibitor 3) (PI-3) (Protease inhibitor WAP3) (Skin-derived antileukoproteinase) (SKALP) (WAP four-disulfide core domain protein 14)	PI3 WAP3 WFDC14	Homo sapiens (Human)	117
A2J1M5	A2J1M5	unreviewed	A2J1M5_HUMAN	Rheumatoid factor RF-IP4 (Rheumatoid factor RF-IP8)		Homo sapiens (Human)	94
Q8NFD0	Q8NFD0	unreviewed	Q8NFD0_HUMAN	DAB1		Homo sapiens (Human)	33
Q9GZM0	Q9GZM0	unreviewed	Q9GZM0_HUMAN	Oxysterol-binding protein		Homo sapiens (Human)	367
Q9UHZ2	Q9UHZ2		MALAT_HUMAN	deleted			
Q9UCW0	P41587	reviewed	VIPR2_HUMAN	Vasoactive intestinal polypeptide receptor 2 (VIP-R-2) (Helodermin-preferring VIP receptor) (Pituitary adenylate cyclase-activating polypeptide type III receptor) (PACAP type III receptor) (PACAP-R-3) (PACAP-R3) (VPAC2)	VIPR2 VIP2R	Homo sapiens (Human)	438
Q9UE70	Q9UE70	unreviewed	Q9UE70_HUMAN	Plasminogen-related protein A		Homo sapiens (Human)	68
Q2M2X9	P49716	reviewed	CEBPD_HUMAN	CCAAT/enhancer-binding protein delta (C/EBP delta) (Nuclear factor NF-IL6-beta) (NF-IL6-beta)	CEBPD	Homo sapiens (Human)	269
Q4LE30	O75970	reviewed	MPDZ_HUMAN	Multiple PDZ domain protein (Multi-PDZ domain protein 1)	MPDZ MUPP1	Homo sapiens (Human)	2070
Q6IB87	P47929	reviewed	LEG7_HUMAN	Galectin-7 (Gal-7) (HKL-14) (PI7) (p53-induced gene 1 protein)	LGALS7 PIG1; LGALS7B	Homo sapiens (Human)	136
Q6TXQ4	Q6TXQ4	unreviewed	Q6TXQ4_HUMAN	H3L-like histone		Homo sapiens (Human)	107
Q6IBL7	P81274	reviewed	GPSM2_HUMAN	G-protein-signaling modulator 2 (Mosaic protein LGN)	GPSM2 LGN	Homo sapiens (Human)	684
Q8N1F1	Q8N1F1		C1AS1_HUMAN	deleted			
Q8NHV8	P30154	reviewed	2AAB_HUMAN	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A beta isoform (PP2A subunit A isoform PR65-beta) (PP2A subunit A isoform R1-beta)	PPP2R1B	Homo sapiens (Human)	601
Q8N5B2	Q12815	reviewed	TROAP_HUMAN	Tastin (Trophinin-assisting protein) (Trophinin-associated protein)	TROAP	Homo sapiens (Human)	778
Q9H8X5	Q5SQI0	reviewed	ATAT_HUMAN	Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	ATAT1 C6orf134 MEC17 Nbla00487	Homo sapiens (Human)	421
Q5HYP2	P56278	reviewed	MTCP1_HUMAN	Protein p13 MTCP-1 (p13MTCP1) (Mature T-cell proliferation-1 type B1) (MTCP-1 type B1)	MTCP1 C6.1B	Homo sapiens (Human)	107
Q6ZV56	Q6ZV56		CV034_HUMAN	deleted			
Q8N7E8	Q8N7E8	unreviewed	Q8N7E8_HUMAN	cDNA FLJ25713 fis, clone TST05089		Homo sapiens (Human)	130
Q8N8G7	Q8N8G7	unreviewed	Q8N8G7_HUMAN	cDNA FLJ39530 fis, clone PUAEN2004400		Homo sapiens (Human)	138
Q8N0T3	A6NC62	reviewed	RAKDN_HUMAN	Putative RBAK downstream neighbor protein	RBAKDN	Homo sapiens (Human)	111
Q9UMU6	Q9UMU6	unreviewed	Q9UMU6_HUMAN	Coagulation factor VII		Homo sapiens (Human)	21
Q9HBS5	O96017	reviewed	CHK2_HUMAN	Serine/threonine-protein kinase Chk2 (EC 2.7.11.1) (CHK2 checkpoint homolog) (Cds1 homolog) (Hucds1) (hCds1) (Checkpoint kinase 2)	CHEK2 CDS1 CHK2 RAD53	Homo sapiens (Human)	543
Q2TV86	P59045	reviewed	NAL11_HUMAN	NACHT, LRR and PYD domains-containing protein 11 (Nucleotide-binding oligomerization domain protein 17) (PAAD-and NACHT domain-containing protein 10) (PYRIN-containing APAF1-like protein 6)	NLRP11 NALP11 NOD17 PAN10 PYPAF6	Homo sapiens (Human)	1033
Q9HAA5	Q9HAA5	unreviewed	Q9HAA5_HUMAN	cDNA FLJ11889 fis, clone HEMBA1007251, weakly similar to Homo sapiens F-box protein FBX29 (FBX29) mRNA		Homo sapiens (Human)	715
Q5J8M4	Q5J8M4	unreviewed	Q5J8M4_HUMAN	Migration-inducing gene 14		Homo sapiens (Human)	352
Q5STR3	O15213	reviewed	WDR46_HUMAN	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	WDR46 BING4 C6orf11 FP221	Homo sapiens (Human)	610
Q6GTN3	P03971	reviewed	MIS_HUMAN	Muellerian-inhibiting factor (Anti-Muellerian hormone) (AMH) (Muellerian-inhibiting substance) (MIS)	AMH MIF	Homo sapiens (Human)	560
Q8WVX7	Q8WVX7	unreviewed	Q8WVX7_HUMAN	Small ribosomal subunit protein eS19 (40S ribosomal protein S19)		Homo sapiens (Human)	157
Q6ZNT7	Q6ZNT7	unreviewed	Q6ZNT7_HUMAN	cDNA FLJ27195 fis, clone SYN02786		Homo sapiens (Human)	194
Q8NDI9	Q8N7R1	reviewed	P1L12_HUMAN	POM121-like protein 12	POM121L12	Homo sapiens (Human)	296
Q7Z7Q6	Q7Z7Q6	unreviewed	Q7Z7Q6_HUMAN	Phosphotransferase (EC 2.7.1.-)		Homo sapiens (Human)	52
Q05CW5	Q05CW5		Q05CW5_HUMAN	deleted			
Q8N793	Q8N793	unreviewed	Q8N793_HUMAN	cDNA FLJ25895 fis, clone CBR03553		Homo sapiens (Human)	137
Q6ZRM9	Q6ZRM9	reviewed	YG024_HUMAN	Putative uncharacterized protein FLJ46235		Homo sapiens (Human)	215
Q6ZTY4	Q6ZTY4		Q6ZTY4_HUMAN	deleted			
Q8TCB9	Q8TCB9	unreviewed	Q8TCB9_HUMAN	HCG1983814	hCG_1983814	Homo sapiens (Human)	44
Q6P052	P33908	reviewed	MA1A1_HUMAN	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA (EC 3.2.1.113) (Man(9)-alpha-mannosidase) (Man9-mannosidase) (Mannosidase alpha class 1A member 1) (Processing alpha-1,2-mannosidase IA) (Alpha-1,2-mannosidase IA)	MAN1A1	Homo sapiens (Human)	653
Q5SY06	Q5SY06		Q5SY06_HUMAN	deleted			
Q59FM3	Q59FM3	unreviewed	Q59FM3_HUMAN	Similar to FKSG60		Homo sapiens (Human)	258
Q5JXS3	Q5JXS3		Q5JXS3_HUMAN	deleted			
Q59E87	Q59E87	unreviewed	Q59E87_HUMAN	RalA binding protein 1 variant		Homo sapiens (Human)	462
Q53SJ7	O75116	reviewed	ROCK2_HUMAN	Rho-associated protein kinase 2 (EC 2.7.11.1) (Rho kinase 2) (Rho-associated, coiled-coil-containing protein kinase 2) (Rho-associated, coiled-coil-containing protein kinase II) (ROCK-II) (p164 ROCK-2)	ROCK2 KIAA0619	Homo sapiens (Human)	1388
Q5JYH9	Q5JYH9		Q5JYH9_HUMAN	deleted			
Q59EM1	Q59EM1	unreviewed	Q59EM1_HUMAN	Angio-associated, migratory cell protein variant		Homo sapiens (Human)	233
Q9H0E5	Q96JW4	reviewed	S41A2_HUMAN	Solute carrier family 41 member 2	SLC41A2	Homo sapiens (Human)	573
Q6EZF9	Q01524	reviewed	DEF6_HUMAN	Defensin-6 (Defensin, alpha 6)	DEFA6 DEF6	Homo sapiens (Human)	100
Q6NWP7	P62805	reviewed	H4_HUMAN	Histone H4	H4C1 H4/A H4FA HIST1H4A; H4C2 H4/I H4FI HIST1H4B; H4C3 H4/G H4FG HIST1H4C; H4C4 H4/B H4FB HIST1H4D; H4C5 H4/J H4FJ HIST1H4E; H4C6 H4/C H4FC HIST1H4F; H4C8 H4/H H4FH HIST1H4H; H4C9 H4/M H4FM HIST1H4I; H4C11 H4/E H4FE HIST1H4J; H4C12 H4/D H4FD HIST1H4K; H4C13 H4/K H4FK HIST1H4L; H4C14 H4/N H4F2 H4FN HIST2H4 HIST2H4A; H4C15 H4/O H4FO HIST2H4B; H4C16 H4-16 HIST4H4	Homo sapiens (Human)	103
Q9NXX5	Q9NXX5	unreviewed	Q9NXX5_HUMAN	cDNA FLJ20004 fis, clone ADKA02391		Homo sapiens (Human)	294
Q96EN6	O43490	reviewed	PROM1_HUMAN	Prominin-1 (Antigen AC133) (Prominin-like protein 1) (CD antigen CD133)	PROM1 PROML1 MSTP061	Homo sapiens (Human)	865
Q8N913	Q8N913	unreviewed	Q8N913_HUMAN	cDNA FLJ38576 fis, clone HCHON2007482		Homo sapiens (Human)	238
Q5VVC4	Q5VVC0	reviewed	SPO16_HUMAN	Protein SPO16 homolog (Synaptonemal complex reinforcing element)	SPO16 C1orf146 SCRE	Homo sapiens (Human)	180
Q9HBB3	Q9HBB3	unreviewed	Q9HBB3_HUMAN	60S ribosomal protein L6		Homo sapiens (Human)	289
Q6NUK9	Q12792	reviewed	TWF1_HUMAN	Twinfilin-1 (Protein A6) (Protein tyrosine kinase 9)	TWF1 PTK9	Homo sapiens (Human)	350
Q96NI0	Q96N67	reviewed	DOCK7_HUMAN	Dedicator of cytokinesis protein 7	DOCK7 KIAA1771	Homo sapiens (Human)	2140
Q6ZV11	Q6ZV11	unreviewed	Q6ZV11_HUMAN	cDNA FLJ43131 fis, clone CTONG3005803, moderately similar to Mus musculus yolk sac permease-like molecule 1 (YSPL-1)		Homo sapiens (Human)	194
Q9P1F2	Q9P1F2	unreviewed	Q9P1F2_HUMAN	PRO2032		Homo sapiens (Human)	94
Q8NBP2	Q3SY77	reviewed	UD3A2_HUMAN	UDP-glucuronosyltransferase 3A2 (UDPGT 3A2) (EC 2.4.1.17)	UGT3A2 PSEC0073 UNQ842/PRO1780	Homo sapiens (Human)	523
Q5VZ56	P01570	reviewed	IFN14_HUMAN	Interferon alpha-14 (IFN-alpha-14) (Interferon alpha-H) (LeIF H) (Interferon lambda-2-H)	IFNA14	Homo sapiens (Human)	189
Q76N57	Q76N57	unreviewed	Q76N57_HUMAN	40S ribosomal protein S26		Homo sapiens (Human)	23
Q5U0N2	P04628	reviewed	WNT1_HUMAN	Proto-oncogene Wnt-1 (Proto-oncogene Int-1 homolog)	WNT1 INT1	Homo sapiens (Human)	370
Q9UKR4	Q9UKR4	unreviewed	Q9UKR4_HUMAN	Small nuclear ribonucleoprotein N		Homo sapiens (Human)	47
Q8NI82	Q6P988	reviewed	NOTUM_HUMAN	Palmitoleoyl-protein carboxylesterase NOTUM (EC 3.1.1.98) (hNOTUM)	NOTUM OK/SW-CL.30	Homo sapiens (Human)	496
Q6KH09	Q6KH09		Q6KH09_HUMAN	deleted			
Q8NH68	Q8NH68	unreviewed	Q8NH68_HUMAN	Olfactory receptor		Homo sapiens (Human)	312
Q96AS6	Q5T4I8	reviewed	CF052_HUMAN	Putative uncharacterized protein C6orf52	C6orf52	Homo sapiens (Human)	152
Q9H918	Q9H918	unreviewed	Q9H918_HUMAN	cDNA FLJ13079 fis, clone NT2RP3002004, moderately similar to H.sapiens FAST kinase		Homo sapiens (Human)	159
Q9NVK0	Q9H4A5	reviewed	GLP3L_HUMAN	Golgi phosphoprotein 3-like (GPP34-related protein)	GOLPH3L GPP34R	Homo sapiens (Human)	285
Q53TU3	P11926	reviewed	DCOR_HUMAN	Ornithine decarboxylase (ODC) (EC 4.1.1.17)	ODC1	Homo sapiens (Human)	461
Q9P1R3	Q9P1R3	unreviewed	Q9P1R3_HUMAN	HDCME13P		Homo sapiens (Human)	178
Q15626	P13056	reviewed	NR2C1_HUMAN	Nuclear receptor subfamily 2 group C member 1 (Orphan nuclear receptor TR2) (Testicular receptor 2)	NR2C1 TR2	Homo sapiens (Human)	603
Q6FGE6	O95639	reviewed	CPSF4_HUMAN	Cleavage and polyadenylation specificity factor subunit 4 (Cleavage and polyadenylation specificity factor 30 kDa subunit) (CPSF 30 kDa subunit) (NS1 effector domain-binding protein 1) (Neb-1) (No arches homolog)	CPSF4 CPSF30 NAR NEB1	Homo sapiens (Human)	269
Q6P3E2	Q5T953	reviewed	IER5L_HUMAN	Immediate early response gene 5-like protein	IER5L	Homo sapiens (Human)	404
Q9P1R7	Q9P1R7	unreviewed	Q9P1R7_HUMAN	HDCMB45P		Homo sapiens (Human)	145
Q9H5R2	Q9H5R2	unreviewed	Q9H5R2_HUMAN	cDNA: FLJ23151 fis, clone LNG09417		Homo sapiens (Human)	455
Q6ZUQ7	Q6ZUQ7	unreviewed	Q6ZUQ7_HUMAN	cDNA FLJ43441 fis, clone OCBBF2030574		Homo sapiens (Human)	183
Q9C084	Q99471	reviewed	PFD5_HUMAN	Prefoldin subunit 5 (Myc modulator 1) (c-Myc-binding protein Mm-1)	PFDN5 MM1 PFD5	Homo sapiens (Human)	154
Q9P2H7	Q32MH5	reviewed	ATOSA_HUMAN	Atos homolog protein A	ATOSA FAM214A KIAA1370	Homo sapiens (Human)	1076
Q76B61	A2VEC9	reviewed	SSPO_HUMAN	SCO-spondin (SCO-spondin pseudogene)	SSPOP KIAA2036 SSPO	Homo sapiens (Human)	5150
Q6ZTX1	Q6P461	reviewed	ACSM6_HUMAN	Acyl-coenzyme A synthetase ACSM6, mitochondrial (EC 6.2.1.2) (Acyl-CoA synthetase medium-chain family member 6)	ACSM6 C10orf129	Homo sapiens (Human)	480
Q9Y427	P09493	reviewed	TPM1_HUMAN	Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)	TPM1 C15orf13 TMSA	Homo sapiens (Human)	284
Q9Y2H3	Q5SYB0	reviewed	FRPD1_HUMAN	FERM and PDZ domain-containing protein 1 (FERM domain-containing protein 2)	FRMPD1 FRMD2 KIAA0967	Homo sapiens (Human)	1578
Q9BS19	Q9BS19	unreviewed	Q9BS19_HUMAN	Epididymis secretory sperm binding protein (HPX protein)		Homo sapiens (Human)	254
Q5VYD7	O00165	reviewed	HAX1_HUMAN	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	HAX1 HS1BP1	Homo sapiens (Human)	279
Q9NWY1	Q8N9N5	reviewed	BANP_HUMAN	Protein BANP (BEN domain-containing protein 1) (Btg3-associated nuclear protein) (Scaffold/matrix-associated region-1-binding protein)	BANP BEND1 SMAR1	Homo sapiens (Human)	519
Q9HBN6	Q8NFF5	reviewed	FAD1_HUMAN	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	FLAD1 PP591	Homo sapiens (Human)	587
Q8NGY4	Q8NGY4	unreviewed	Q8NGY4_HUMAN	Olfactory receptor	hCG_39951	Homo sapiens (Human)	312
Q9UMX8	Q9UMX8		YA045_HUMAN	deleted			
Q9H283	Q9H283	unreviewed	Q9H283_HUMAN	HCG1993240 (Serologically defined breast cancer antigen NY-BR-40)	hCG_1993240	Homo sapiens (Human)	43
Q8NBU9	Q8NBU9		PLAC2_HUMAN	deleted			
Q6NUI5	Q6NUI5		Q6NUI5_HUMAN	deleted			
Q53R42	O60662	reviewed	KLH41_HUMAN	Kelch-like protein 41 (Kel-like protein 23) (Kelch repeat and BTB domain-containing protein 10) (Kelch-related protein 1) (Sarcosin)	KLHL41 KBTBD10 KRP1	Homo sapiens (Human)	606
Q9H880	Q9H880	unreviewed	Q9H880_HUMAN	cDNA FLJ13888 fis, clone THYRO1001584		Homo sapiens (Human)	201
Q6ZNQ4	Q6ZNQ4	unreviewed	Q6ZNQ4_HUMAN	cDNA FLJ27342 fis, clone TST02993		Homo sapiens (Human)	416
Q6ZQS0	Q6ZQS0		Q6ZQS0_HUMAN	deleted			
Q6UY50	Q6UY50	unreviewed	Q6UY50_HUMAN	NL3	UNQ172	Homo sapiens (Human)	218
Q4G193	Q4G193	unreviewed	Q4G193_HUMAN	Uncharacterized protein		Homo sapiens (Human)	92
Q9Y4B2	P52741	reviewed	ZN134_HUMAN	Zinc finger protein 134	ZNF134	Homo sapiens (Human)	427
Q9BYA6	Q9BYA6		K1654_HUMAN	deleted			
Q8N4G9	Q6V702	reviewed	CF299_HUMAN	Cilia- and flagella-associated protein 299	CFAP299 C4orf22	Homo sapiens (Human)	233
Q59H85	Q59H85	unreviewed	Q59H85_HUMAN	Neuroendocrine convertase 1 (EC 3.4.21.93) (Prohormone convertase 1) (Proprotein convertase 1)		Homo sapiens (Human)	724
Q5TDB4	Q5TDB4		Q5TDB4_HUMAN	deleted			
Q6ZWD1	Q5GJ75	reviewed	TP8L3_HUMAN	Tumor necrosis factor alpha-induced protein 8-like protein 3 (TNF alpha-induced protein 8-like protein 3) (TNFAIP8-like protein 3)	TNFAIP8L3 TIPE3	Homo sapiens (Human)	292
Q59H30	Q59H30	unreviewed	Q59H30_HUMAN	Activating transcription factor 6 variant		Homo sapiens (Human)	578
Q9Y3Y6	Q8NCA5	reviewed	FA98A_HUMAN	Protein FAM98A	FAM98A	Homo sapiens (Human)	518
Q6PKN9	Q0VD86	reviewed	INCA1_HUMAN	Protein INCA1 (Inhibitor of CDK interacting with cyclin A1)	INCA1 HSD45	Homo sapiens (Human)	236
Q59EZ0	Q59EZ0	unreviewed	Q59EZ0_HUMAN	Protein kinase C, gamma variant		Homo sapiens (Human)	239
Q6ZUE4	Q6ZUE4		Q6ZUE4_HUMAN	deleted			
Q9UFQ3	Q86XA9	reviewed	HTR5A_HUMAN	HEAT repeat-containing protein 5A	HEATR5A C14orf125 KIAA1316	Homo sapiens (Human)	2040
Q9NU40	Q9NU40		Q9NU40_HUMAN	deleted			
Q8N1I2	Q8N1I2		CS031_HUMAN	deleted			
Q9BRG9	Q8NI38	reviewed	IKBD_HUMAN	NF-kappa-B inhibitor delta (NFKB inhibitor delta) (I-kappa-B-delta) (IkB-delta) (IkappaBdelta) (IkappaBNS) (T-cell activation NFKB-like protein) (TA-NFKBH)	NFKBID IKBNS	Homo sapiens (Human)	313
Q5RZA0	Q5RZA0	unreviewed	Q5RZA0_HUMAN	Striatal apoptosis-inducing factor		Homo sapiens (Human)	226
Q86ST9	P0C881	reviewed	R10B1_HUMAN	Radial spoke head 10 homolog B	RSPH10B	Homo sapiens (Human)	870
Q86ST9	B2RC85	reviewed	R10B2_HUMAN	Radial spoke head 10 homolog B2	RSPH10B2	Homo sapiens (Human)	870
Q6IBR6	P68402	reviewed	PA1B2_HUMAN	Platelet-activating factor acetylhydrolase IB subunit alpha2 (EC 3.1.1.47) (PAF acetylhydrolase 30 kDa subunit) (PAF-AH 30 kDa subunit) (PAF-AH subunit beta) (PAFAH subunit beta)	PAFAH1B2 PAFAHB	Homo sapiens (Human)	229
Q86T01	P28074	reviewed	PSB5_HUMAN	Proteasome subunit beta type-5 (EC 3.4.25.1) (Macropain epsilon chain) (Multicatalytic endopeptidase complex epsilon chain) (Proteasome chain 6) (Proteasome epsilon chain) (Proteasome subunit MB1) (Proteasome subunit X)	PSMB5 LMPX MB1 X	Homo sapiens (Human)	263
Q0VDB2	Q14406	reviewed	CSHL_HUMAN	Chorionic somatomammotropin hormone-like 1 (Chorionic somatomammotropin-like) (Lactogen-like)	CSHL1 CSHP1 CSL	Homo sapiens (Human)	222
Q9UE89	Q9UE89	unreviewed	Q9UE89_HUMAN	Beta-actin		Homo sapiens (Human)	71
Q96F87	Q96F87	unreviewed	Q96F87_HUMAN	TOG domain-containing protein		Homo sapiens (Human)	857
Q8N5X8	A4D2B0	reviewed	MBLC1_HUMAN	Metallo-beta-lactamase domain-containing protein 1 (EC 3.1.27.-) (Endoribonuclease MBLAC1)	MBLAC1	Homo sapiens (Human)	266
