From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O15320	Q96PC5	reviewed	MIA2_HUMAN	Melanoma inhibitory activity protein 2 (MIA protein 2) (CTAGE family member 5 ER export factor) (Cutaneous T-cell lymphoma-associated antigen 5) (Meningioma-expressed antigen 6/11)	MIA2 CTAGE5 MEA11 MEA6 MGEA11 MGEA6	Homo sapiens (Human)	1412
A8MTM6	Q15398	reviewed	DLGP5_HUMAN	Disks large-associated protein 5 (DAP-5) (Discs large homolog 7) (Disks large-associated protein DLG7) (Hepatoma up-regulated protein) (HURP)	DLGAP5 DLG7 KIAA0008	Homo sapiens (Human)	846
A6NKN2	Q99708	reviewed	CTIP_HUMAN	DNA endonuclease RBBP8 (EC 3.1.-.-) (CtBP-interacting protein) (CtIP) (Retinoblastoma-binding protein 8) (RBBP-8) (Retinoblastoma-interacting protein and myosin-like) (RIM) (Sporulation in the absence of SPO11 protein 2 homolog) (SAE2)	RBBP8 CTIP	Homo sapiens (Human)	897
B5MC01	B5MC01		B5MC01_HUMAN	deleted			
Q6GMV1	Q6GMV1		ALG1L_HUMAN	deleted			
E9PF65	E9PF65		E9PF65_HUMAN	deleted			
E9PG96	E9PG96		E9PG96_HUMAN	deleted			
F5H0B0	F5H0B0		F5H0B0_HUMAN	deleted			
B1AK64	Q9HAF1	reviewed	EAF6_HUMAN	Chromatin modification-related protein MEAF6 (MYST/Esa1-associated factor 6) (Esa1-associated factor 6 homolog) (Protein EAF6 homolog) (hEAF6) (Sarcoma antigen NY-SAR-91)	MEAF6 C1orf149 CENP-28 EAF6	Homo sapiens (Human)	191
Q9BRW7	Q99909	reviewed	SSX3_HUMAN	Protein SSX3 (Cancer/testis antigen 5.3) (CT5.3)	SSX3	Homo sapiens (Human)	188
B7Z5R0	Q9BV97	reviewed	ZN747_HUMAN	Zinc finger protein 747	ZNF747	Homo sapiens (Human)	330
Q32Q52	Q6ZR37	reviewed	PKHG7_HUMAN	Pleckstrin homology domain-containing family G member 7 (PH domain-containing family G member 7)	PLEKHG7 C12orf74	Homo sapiens (Human)	691
Q9H8E5	Q9H8E5	unreviewed	Q9H8E5_HUMAN	cDNA FLJ13705 fis, clone PLACE2000302		Homo sapiens (Human)	202
Q5JZH5	Q969T3	reviewed	SNX21_HUMAN	Sorting nexin-21 (Sorting nexin L) (SNX-L)	SNX21 C20orf161 SNXL	Homo sapiens (Human)	373
Q8WW81	Q8WW81	unreviewed	Q8WW81_HUMAN	L-serine ammonia-lyase (EC 4.3.1.17)		Homo sapiens (Human)	218
Q580R0	P0DPF5	reviewed	CB27A_HUMAN	Uncharacterized protein C2orf27A	C2orf27A	Homo sapiens (Human)	203
Q580R0	P0DPF6	reviewed	CB27B_HUMAN	Putative uncharacterized protein CDRT15P3	CDRT15P3 C2orf27B	Homo sapiens (Human)	209
B7XGB9	Q96MI6	reviewed	PPM1M_HUMAN	Protein phosphatase 1M (EC 3.1.3.16) (Protein phosphatase 2C isoform eta) (PP2C-eta) (PP2CE)	PPM1M PPM1E	Homo sapiens (Human)	459
Q9P0W5	B3KU38	reviewed	IQIP1_HUMAN	IQCJ-SCHIP1 readthrough transcript protein	IQCJ-SCHIP1	Homo sapiens (Human)	563
Q9P0W5	P0DPB3	reviewed	SCHI1_HUMAN	Schwannomin-interacting protein 1 (SCHIP-1)	SCHIP1	Homo sapiens (Human)	487
O60344	P0DPD8	reviewed	EFCE2_HUMAN	EEF1AKMT4-ECE2 readthrough transcript protein (EC 3.4.24.71) [Includes: Methyltransferase-like region (EC 2.1.1.-); Endothelin-converting enzyme 2 region (EC 3.4.24.71)]	EEF1AKMT4-ECE2	Homo sapiens (Human)	883
O60344	P0DPD7	reviewed	EFMT4_HUMAN	EEF1A lysine methyltransferase 4 (EC 2.1.1.-)	EEF1AKMT4	Homo sapiens (Human)	255
O60344	P0DPD6	reviewed	ECE2_HUMAN	Endothelin-converting enzyme 2 (ECE-2) (EC 3.4.24.71)	ECE2 KIAA0604 UNQ403/PRO740	Homo sapiens (Human)	811
Q6WMU8	Q9NX65	reviewed	ZSC32_HUMAN	Zinc finger and SCAN domain-containing protein 32 (Human cervical cancer suppressor gene 5 protein) (HCCS-5) (Zinc finger protein 434)	ZSCAN32 ZNF434 HCCS5	Homo sapiens (Human)	697
C9JTA0	C9JTA0		C9JTA0_HUMAN	deleted			
Q8IVU5	Q8IVU5		CC046_HUMAN	deleted			
A2A457	A2A457		A2A457_HUMAN	deleted			
A0JLV8	Q9NXT0	reviewed	ZN586_HUMAN	Zinc finger protein 586	ZNF586	Homo sapiens (Human)	402
E9PBT0	E9PBT0		E9PBT0_HUMAN	deleted			
F5H4Y9	Q96KN8	reviewed	PLAT5_HUMAN	Phospholipase A and acyltransferase 5 (Ca(2+)-independent N-acyltransferase) (iNAT) (EC 2.3.1.-, EC 3.1.1.32, EC 3.1.1.4) (H-rev107-like protein 5) (HRAS-like suppressor 5) (HRSL5)	PLAAT5 HRASLS5 HRLP5	Homo sapiens (Human)	279
A2RRF1	Q8NFQ6	reviewed	BPIFC_HUMAN	BPI fold-containing family C protein (Bactericidal/permeability-increasing protein-like 2) (BPI-like 2)	BPIFC BPIL2	Homo sapiens (Human)	507
Q96AC5	P14921	reviewed	ETS1_HUMAN	Protein C-ets-1 (p54)	ETS1 EWSR2	Homo sapiens (Human)	441
B0UZR7	B0UZR7		B0UZR7_HUMAN	deleted			
B4DLN1	B4DLN1	unreviewed	B4DLN1_HUMAN	cDNA FLJ60124, highly similar to Mitochondrial dicarboxylate carrier		Homo sapiens (Human)	442
B5MCC9	Q99674	reviewed	CGRE1_HUMAN	Cell growth regulator with EF hand domain protein 1 (Cell growth regulatory gene 11 protein) (Hydrophobestin)	CGREF1 CGR11	Homo sapiens (Human)	318
B7ZLT4	Q8NCT3	reviewed	MACA2_HUMAN	Putative tyrosine carboxypeptidase MATCAP2 (EC 3.4.17.-)	MATCAP2 KIAA0895	Homo sapiens (Human)	520
Q9BVW3	Q16719	reviewed	KYNU_HUMAN	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	KYNU	Homo sapiens (Human)	465
Q69YW0	Q9C0B2	reviewed	CFA74_HUMAN	Cilia- and flagella-associated protein 74	CFAP74 C1orf222 KIAA1751	Homo sapiens (Human)	1584
Q0VAN4	Q9BXJ4	reviewed	C1QT3_HUMAN	Complement C1q tumor necrosis factor-related protein 3 (Collagenous repeat-containing sequence 26 kDa protein) (CORS26) (Secretory protein CORS26)	C1QTNF3 CTRP3 UNQ753/PRO1484	Homo sapiens (Human)	246
P20039	P01911	reviewed	DRB1_HUMAN	HLA class II histocompatibility antigen, DRB1 beta chain (Human leukocyte antigen DRB1) (HLA-DRB1)	HLA-DRB1	Homo sapiens (Human)	266
Q5SR76	Q8IYW2	reviewed	CFA46_HUMAN	Cilia- and flagella-associated protein 46 (Tetratricopeptide repeat protein 40)	CFAP46 C10orf123 C10orf124 C10orf92 C10orf93 TTC40	Homo sapiens (Human)	2715
A6NFD7	A6NFD7		A6NFD7_HUMAN	deleted			
P33765	P0DMS9	reviewed	TMIG3_HUMAN	Transmembrane domain-containing protein TMIGD3	TMIGD3 UNQ1931/PRO4406	Homo sapiens (Human)	266
P33765	P0DMS8	reviewed	AA3R_HUMAN	Adenosine receptor A3	ADORA3	Homo sapiens (Human)	318
B7Z7R3	P48059	reviewed	LIMS1_HUMAN	LIM and senescent cell antigen-like-containing domain protein 1 (Particularly interesting new Cys-His protein 1) (PINCH-1) (Renal carcinoma antigen NY-REN-48)	LIMS1 PINCH PINCH1	Homo sapiens (Human)	325
B9ZVT0	Q01113	reviewed	IL9R_HUMAN	Interleukin-9 receptor (IL-9 receptor) (IL-9R) (CD antigen CD129)	IL9R	Homo sapiens (Human)	521
A6NK07	A6NK07		IF2BL_HUMAN	deleted			
Q96IH6	Q9Y6C2	reviewed	EMIL1_HUMAN	EMILIN-1 (Elastin microfibril interface-located protein 1) (Elastin microfibril interfacer 1)	EMILIN1 EMI	Homo sapiens (Human)	1016
F5H792	F5H792		F5H792_HUMAN	deleted			
P04222	P10321	reviewed	HLAC_HUMAN	HLA class I histocompatibility antigen, C alpha chain (HLA-C) (HLA-Cw) (Human leukocyte antigen C)	HLA-C HLAC	Homo sapiens (Human)	366
D6RH18	P81877	reviewed	SSBP2_HUMAN	Single-stranded DNA-binding protein 2 (Sequence-specific single-stranded-DNA-binding protein 2)	SSBP2 SSDP2	Homo sapiens (Human)	361
Q86XG6	P16389	reviewed	KCNA2_HUMAN	Potassium voltage-gated channel subfamily A member 2 (NGK1) (Voltage-gated K(+) channel HuKIV) (Voltage-gated potassium channel HBK5) (Voltage-gated potassium channel subunit Kv1.2)	KCNA2	Homo sapiens (Human)	499
Q14D68	Q9Y574	reviewed	ASB4_HUMAN	Ankyrin repeat and SOCS box protein 4 (ASB-4)	ASB4	Homo sapiens (Human)	426
Q12799	Q12799		TCP10_HUMAN	deleted			
E7EP37	E7EP37		E7EP37_HUMAN	deleted			
Q8IXS6	Q9Y2D5	reviewed	PLAK2_HUMAN	PALM2-AKAP2 fusion protein (A-kinase anchor protein 2) (AKAP-2) (AKAP-KL) (Paralemmin A kinase anchor protein) (Paralemmin-2) (Protein kinase A-anchoring protein 2) (PRKA2)	PALM2AKAP2 KIAA0920 PAKAP PALM2	Homo sapiens (Human)	1103
E9PBZ6	Q9NQA5	reviewed	TRPV5_HUMAN	Transient receptor potential cation channel subfamily V member 5 (TrpV5) (Calcium transport protein 2) (CaT2) (Epithelial calcium channel 1) (ECaC) (ECaC1) (Osm-9-like TRP channel 3) (OTRPC3)	TRPV5 ECAC1	Homo sapiens (Human)	729
Q5J1K9	Q5J1K9	unreviewed	Q5J1K9_HUMAN	Mono-ADP-ribosyltransferase 3 variant Ia		Homo sapiens (Human)	117
Q8NFS9	Q8N0V5	reviewed	GNT2A_HUMAN	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)	GCNT2 GCNT5 II NACGT1	Homo sapiens (Human)	402
Q5VU13	P0DPA2	reviewed	VSIG8_HUMAN	V-set and immunoglobulin domain-containing protein 8	VSIG8 C1orf204	Homo sapiens (Human)	414
Q5VU13	P0DPA3	reviewed	SNH28_HUMAN	Putative uncharacterized protein SNHG28 (Small nucleolar RNA host gene 2) (VSIG8 overlapping transcript protein) (VSIG8-OT1)	SNHG28 C1orf204	Homo sapiens (Human)	235
B0V056	B0V056		B0V056_HUMAN	deleted			
F5H1M0	F5H1M0		F5H1M0_HUMAN	deleted			
Q147X8	P43115	reviewed	PE2R3_HUMAN	Prostaglandin E2 receptor EP3 subtype (PGE receptor EP3 subtype) (PGE2 receptor EP3 subtype) (PGE2-R) (Prostanoid EP3 receptor)	PTGER3	Homo sapiens (Human)	390
Q2T9F4	Q2T9F4		IN4L2_HUMAN	deleted			
E7EU74	E7EU74		E7EU74_HUMAN	deleted			
E7EN14	H0YKB7	unreviewed	H0YKB7_HUMAN	Interleukin 16	IL16	Homo sapiens (Human)	454
A4FU63	Q9HB29	reviewed	ILRL2_HUMAN	Interleukin-1 receptor-like 2 (EC 3.2.2.6) (IL-36 receptor) (IL-36R) (Interleukin-1 receptor-related protein 2) (IL-1Rrp2) (IL1R-rp2)	IL1RL2 IL1RRP2	Homo sapiens (Human)	575
Q8N734	Q8N734		Q8N734_HUMAN	deleted			
D6RAK8	P02774	reviewed	VTDB_HUMAN	Vitamin D-binding protein (DBP) (VDB) (Gc protein-derived macrophage activating factor) (Gc-MAF) (GcMAF) (Gc-globulin) (Group-specific component) (Gc) (Vitamin D-binding protein-macrophage activating factor) (DBP-maf)	GC	Homo sapiens (Human)	474
E9PDJ5	P54219	reviewed	VMAT1_HUMAN	Chromaffin granule amine transporter (Solute carrier family 18 member 1) (Vesicular amine transporter 1) (VAT1)	SLC18A1 VAT1 VMAT1	Homo sapiens (Human)	525
A8MWH4	A8MWH4		A8MWH4_HUMAN	deleted			
A2RRD2	P31639	reviewed	SC5A2_HUMAN	Sodium/glucose cotransporter 2 (Na(+)/glucose cotransporter 2) (Low affinity sodium-glucose cotransporter) (Solute carrier family 5 member 2)	SLC5A2 SGLT2	Homo sapiens (Human)	672
Q13748	P0DPH7	reviewed	TBA3C_HUMAN	Tubulin alpha-3C chain (EC 3.6.5.-) (Alpha-tubulin 2) (Alpha-tubulin 3C) (Tubulin alpha-2 chain) [Cleaved into: Detyrosinated tubulin alpha-3C chain]	TUBA3C TUBA2	Homo sapiens (Human)	450
Q13748	P0DPH8	reviewed	TBA3D_HUMAN	Tubulin alpha-3D chain (EC 3.6.5.-) (Alpha-tubulin 3D) [Cleaved into: Detyrosinated tubulin alpha-3D chain]	TUBA3D	Homo sapiens (Human)	450
E5RG83	A0AVG3	unreviewed	A0AVG3_HUMAN	t-SNARE domain containing 1	TSNARE1	Homo sapiens (Human)	514
Q8IUX2	P11137	reviewed	MTAP2_HUMAN	Microtubule-associated protein 2 (MAP-2)	MAP2	Homo sapiens (Human)	1827
A4QPA5	Q8N1N0	reviewed	CLC4F_HUMAN	C-type lectin domain family 4 member F (C-type lectin superfamily member 13) (C-type lectin 13)	CLEC4F CLECSF13	Homo sapiens (Human)	589
A8MT71	A8MT71		A8MT71_HUMAN	deleted			
Q6PEJ6	Q9H2U9	reviewed	ADAM7_HUMAN	Disintegrin and metalloproteinase domain-containing protein 7 (ADAM 7) (Sperm maturation-related glycoprotein GP-83)	ADAM7 GP83	Homo sapiens (Human)	754
E7ET02	E7ET02		E7ET02_HUMAN	deleted			
Q6GMP0	P36269	reviewed	GGT5_HUMAN	Glutathione hydrolase 5 proenzyme (EC 3.4.19.13) (Gamma-glutamyl transpeptidase-related enzyme) (GGT-rel) (Gamma-glutamyltransferase 5) (GGT 5) (EC 2.3.2.2) (Gamma-glutamyltransferase-like activity 1) (Gamma-glutamyltranspeptidase 5) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) [Cleaved into: Glutathione hydrolase 5 heavy chain; Glutathione hydrolase 5 light chain]	GGT5 GGTLA1	Homo sapiens (Human)	586
Q6S5H4	A0JP26	reviewed	POTB3_HUMAN	POTE ankyrin domain family member B3	POTEB3	Homo sapiens (Human)	581
E9PHM4	E9PHM4		E9PHM4_HUMAN	deleted			
B4DLD9	O15409	reviewed	FOXP2_HUMAN	Forkhead box protein P2 (CAG repeat protein 44) (Trinucleotide repeat-containing gene 10 protein)	FOXP2 CAGH44 TNRC10	Homo sapiens (Human)	715
E9PF47	Q6UXI7	reviewed	VITRN_HUMAN	Vitrin	VIT UNQ647/PRO1277	Homo sapiens (Human)	678
Q5JPP8	Q92581	reviewed	SL9A6_HUMAN	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Solute carrier family 9 member 6)	SLC9A6 KIAA0267 NHE6	Homo sapiens (Human)	701
Q3T1B2	Q8IX29	reviewed	FBX16_HUMAN	F-box only protein 16	FBXO16 FBX16	Homo sapiens (Human)	292
A6NE09	A6NE09		A6NE09_HUMAN	deleted			
E2QRJ2	E2QRJ2		E2QRJ2_HUMAN	deleted			
Q5JWH5	Q9H1H1	reviewed	GTSFL_HUMAN	Gametocyte-specific factor 1-like (Protein FAM112A)	GTSF1L C20orf65 FAM112A	Homo sapiens (Human)	148
A2RUP7	P59942	reviewed	MCCD1_HUMAN	Mitochondrial coiled-coil domain protein 1	MCCD1	Homo sapiens (Human)	119
E9PF96	E9PF96		E9PF96_HUMAN	deleted			
Q5TGW6	Q5TGW6		Q5TGW6_HUMAN	deleted			
Q8N9S7	Q6ZTR5	reviewed	CFA47_HUMAN	Cilia- and flagella-associated protein 47	CFAP47 CHDC2 CXorf22 CXorf30 CXorf59	Homo sapiens (Human)	3187
F5H593	F5H593		F5H593_HUMAN	deleted			
Q24JR0	P08048	reviewed	ZFY_HUMAN	Zinc finger Y-chromosomal protein	ZFY	Homo sapiens (Human)	801
E9PRW7	Q8N961	reviewed	ABTB2_HUMAN	Ankyrin repeat and BTB/POZ domain-containing protein 2	ABTB2	Homo sapiens (Human)	1025
Q8N5D4	Q8N5D4	unreviewed	Q8N5D4_HUMAN	CCNG2 protein		Homo sapiens (Human)	344
E7ET31	E7ET31		E7ET31_HUMAN	deleted			
Q96KY9	Q96KY9	unreviewed	Q96KY9_HUMAN	CDH19 protein		Homo sapiens (Human)	390
B8ZZJ1	Q9BYI3	reviewed	HYCCI_HUMAN	Hyccin (Down-regulated by CTNNB1 protein A)	HYCC1 DRCTNNB1A FAM126A	Homo sapiens (Human)	521
C9J4T5	C9J4T5		C9J4T5_HUMAN	deleted			
A2NHM0	P49662	reviewed	CASP4_HUMAN	Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit p10; Caspase-4 subunit p20]	CASP4 ICH2	Homo sapiens (Human)	377
E9PFY4	P41440	reviewed	S19A1_HUMAN	Reduced folate transporter (FOLT) (Cyclic dinucleotide:anion antiporter SLC19A1) (Folate:anion antiporter SLC19A1) (Intestinal folate carrier 1) (IFC-1) (Placental folate transporter) (Reduced folate carrier protein) (RFC) (hRFC) (Reduced folate transporter 1) (RFT-1) (Solute carrier family 19 member 1) (hSLC19A1)	SLC19A1 FLOT1 RFC1	Homo sapiens (Human)	591
O14582	P0DI81	reviewed	TPC2A_HUMAN	Trafficking protein particle complex subunit 2 (Sedlin)	TRAPPC2 SEDL	Homo sapiens (Human)	140
O14582	P0DI82	reviewed	TPC2B_HUMAN	Trafficking protein particle complex subunit 2B (MBP-1-interacting protein 2A) (MIP-2A)	TRAPPC2B SEDLP1 TRAPPC2.19 TRAPPC2P1	Homo sapiens (Human)	140
P04745	P0DUB6	reviewed	AMY1A_HUMAN	Alpha-amylase 1A (EC 3.2.1.1) (1,4-alpha-D-glucan glucanohydrolase 1) (Salivary alpha-amylase)	AMY1A AMY1	Homo sapiens (Human)	511
P04745	P0DTE7	reviewed	AMY1B_HUMAN	Alpha-amylase 1B (EC 3.2.1.1)	AMY1B AMY1	Homo sapiens (Human)	511
P04745	P0DTE8	reviewed	AMY1C_HUMAN	Alpha-amylase 1C (EC 3.2.1.1)	AMY1C AMY1	Homo sapiens (Human)	511
E7ETV7	E7ETV7		E7ETV7_HUMAN	deleted			
Q5T6T3	Q5T6T3		Q5T6T3_HUMAN	deleted			
Q6ZTY8	Q96N23	reviewed	CFA54_HUMAN	Cilia- and flagella-associated protein 54	CFAP54 C12orf55 C12orf63	Homo sapiens (Human)	3096
C9J1K8	C9J1K8		C9J1K8_HUMAN	deleted			
Q6ZRR9	M0R2J8	reviewed	DCDC1_HUMAN	Doublecortin domain-containing protein 1 (Doublecortin domain-containing 5 protein)	DCDC1 DCDC5 KIAA1493	Homo sapiens (Human)	1783
O75505	O75505		DUX2_HUMAN	deleted			
B4DGV2	B4DGV2	unreviewed	B4DGV2_HUMAN	cDNA FLJ56593, highly similar to Seizure 6-like protein		Homo sapiens (Human)	139
P59894	M0R2J8	reviewed	DCDC1_HUMAN	Doublecortin domain-containing protein 1 (Doublecortin domain-containing 5 protein)	DCDC1 DCDC5 KIAA1493	Homo sapiens (Human)	1783
E7ESF1	E7ESF1		E7ESF1_HUMAN	deleted			
Q8IZK7	O43508	reviewed	TNF12_HUMAN	Tumor necrosis factor ligand superfamily member 12 (APO3 ligand) (TNF-related weak inducer of apoptosis) (TWEAK) [Cleaved into: Tumor necrosis factor ligand superfamily member 12, membrane form; Tumor necrosis factor ligand superfamily member 12, secreted form]	TNFSF12 APO3L DR3LG UNQ181/PRO207	Homo sapiens (Human)	249
E9PDL1	E9PDL1		E9PDL1_HUMAN	deleted			
Q9Y5M6	Q9Y5M6		TISR_HUMAN	deleted			
Q7Z4U5	Q7Z4U5		CF201_HUMAN	deleted			
Q8NEP4	O43236	reviewed	SEPT4_HUMAN	Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	SEPTIN4 C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	Homo sapiens (Human)	478
B4DMQ8	B4DMQ8	unreviewed	B4DMQ8_HUMAN	cDNA FLJ55156, highly similar to Zinc-finger protein neuro-d4		Homo sapiens (Human)	203
Q13067	Q13067		GAGE3_HUMAN	deleted			
B5MCL7	Q96NT3	reviewed	GUCD1_HUMAN	Protein GUCD1 (Guanylyl cyclase domain-containing protein 1) (Protein LLN4)	GUCD1 C22orf13 LLN4	Homo sapiens (Human)	240
Q6NSH3	P0DMU8	reviewed	CT455_HUMAN	Cancer/testis antigen family 45 member A5 (Cancer/testis antigen 45-5) (Cancer/testis antigen 45A5)	CT45A5 CT45-5	Homo sapiens (Human)	189
Q6NSH3	P0DMU9	reviewed	CT45A_HUMAN	Cancer/testis antigen family 45 member A10 (Cancer/testis antigen 45A10)	CT45A10	Homo sapiens (Human)	189
Q8N6J7	Q9UKR8	reviewed	TSN16_HUMAN	Tetraspanin-16 (Tspan-16) (Tetraspanin TM4-B) (Transmembrane 4 superfamily member 16)	TSPAN16 TM4SF16	Homo sapiens (Human)	245
C4AM82	C4AM82		C4AM82_HUMAN	deleted			
P0C5W0	P0C5W0		PNM6B_HUMAN	deleted			
B4DRM4	Q9P1A2	reviewed	PP4RL_HUMAN	Putative serine/threonine-protein phosphatase 4 regulatory subunit 1-like	PPP4R1L C20orf192 PRO1085	Homo sapiens (Human)	415
E9PC91	Q9NZM6	reviewed	PK2L2_HUMAN	Polycystin-2-like protein 2 (Polycystin-2L2) (Polycystic kidney disease 2-like 2 protein) (Polycystin-L2)	PKD2L2	Homo sapiens (Human)	624
F5H559	F5H559		F5H559_HUMAN	deleted			
Q56UQ5	Q56UQ5	reviewed	TPT1L_HUMAN	TPT1-like protein		Homo sapiens (Human)	140
F5GZ62	F5GZ62		F5GZ62_HUMAN	deleted			
Q0VFX4	Q0VFX4	reviewed	YL016_HUMAN	Putative uncharacterized protein LOC100128554		Homo sapiens (Human)	171
E7EMM8	E7EMM8		E7EMM8_HUMAN	deleted			
Q8IVM7	Q8IVM7		CM029_HUMAN	deleted			
Q86VS0	Q92581	reviewed	SL9A6_HUMAN	Sodium/hydrogen exchanger 6 (Na(+)/H(+) exchanger 6) (NHE-6) (Solute carrier family 9 member 6)	SLC9A6 KIAA0267 NHE6	Homo sapiens (Human)	701
Q0VAN0	P31751	reviewed	AKT2_HUMAN	RAC-beta serine/threonine-protein kinase (EC 2.7.11.1) (Protein kinase Akt-2) (Protein kinase B beta) (PKB beta) (RAC-PK-beta)	AKT2	Homo sapiens (Human)	481
C9IYG0	Q9GZU7	reviewed	CTDS1_HUMAN	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 1 (EC 3.1.3.16) (Nuclear LIM interactor-interacting factor 3) (NLI-IF) (NLI-interacting factor 3) (Small C-terminal domain phosphatase 1) (SCP1) (Small CTD phosphatase 1)	CTDSP1 NIF3 NLIIF SCP1	Homo sapiens (Human)	261
Q96F92	Q96F92		Q96F92_HUMAN	deleted			
P30466	P01889	reviewed	HLAB_HUMAN	HLA class I histocompatibility antigen, B alpha chain (Human leukocyte antigen B) (HLA-B)	HLA-B HLAB	Homo sapiens (Human)	362
B3SXQ8	Q14195	reviewed	DPYL3_HUMAN	Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1)	DPYSL3 CRMP4 DRP3 ULIP ULIP1	Homo sapiens (Human)	570
B4DVV6	B4DVV6	unreviewed	B4DVV6_HUMAN	Sulfotransferase (EC 2.8.2.-)		Homo sapiens (Human)	358
E7ERD3	E7ERD3		E7ERD3_HUMAN	deleted			
E9PG51	E9PG51		E9PG51_HUMAN	deleted			
Q504X1	Q8IWW6	reviewed	RHG12_HUMAN	Rho GTPase-activating protein 12 (Rho-type GTPase-activating protein 12)	ARHGAP12	Homo sapiens (Human)	846
Q6PJU7	Q12815	reviewed	TROAP_HUMAN	Tastin (Trophinin-assisting protein) (Trophinin-associated protein)	TROAP	Homo sapiens (Human)	778
B7Z3M9	B7Z3M9	unreviewed	B7Z3M9_HUMAN	cDNA FLJ53621, highly similar to Adapter-relatedprotein complex 1 sigma- 1B subunit		Homo sapiens (Human)	195
Q7Z6H8	Q9HAW8	reviewed	UD110_HUMAN	UDP-glucuronosyltransferase 1A10 (UGT1A10) (EC 2.4.1.17) (UDP-glucuronosyltransferase 1-10) (UDPGT 1-10) (UGT1*10) (UGT1-10) (UGT1.10) (UDP-glucuronosyltransferase 1-J) (UGT-1J) (UGT1J)	UGT1A10 GNT1 UGT1	Homo sapiens (Human)	530
A2RRF2	Q8TDW5	reviewed	SYTL5_HUMAN	Synaptotagmin-like protein 5	SYTL5 SLP5	Homo sapiens (Human)	730
A2ABE1	A2ABE1		A2ABE1_HUMAN	deleted			
Q8N754	P11532	reviewed	DMD_HUMAN	Dystrophin	DMD	Homo sapiens (Human)	3685
Q86VQ2	Q9UPY6	reviewed	WASF3_HUMAN	Actin-binding protein WASF3 (Protein WAVE-3) (Verprolin homology domain-containing protein 3) (Wiskott-Aldrich syndrome protein family member 3) (WASP family protein member 3)	WASF3 KIAA0900 SCAR3 WAVE3	Homo sapiens (Human)	502
A6H8L7	Q9P246	reviewed	STIM2_HUMAN	Stromal interaction molecule 2	STIM2 KIAA1482	Homo sapiens (Human)	746
Q3SY79	P56704	reviewed	WNT3A_HUMAN	Protein Wnt-3a	WNT3A	Homo sapiens (Human)	352
B3KNQ0	Q53HC0	reviewed	CCD92_HUMAN	Coiled-coil domain-containing protein 92 (Limkain beta-2)	CCDC92	Homo sapiens (Human)	331
